Date,CHS,JP,BA,CITI,WF,GS,MS,USB,ICBC,CCB,BOC,BCOM,CBM,IBC
3/22/2024,10.41565568,42.2518097,1.7140423,5.0121641,1.603026225,428.4059955,17.2148479,5.1399963,9.79404E-05,0.000188491,9.79404E-05,0.000373186,0.023745029,9.79404E-05
3/15/2024,1.9197102,11.6471337,0.735474175,2.378616075,1.641019725,111.5356102,8.7612088,1.8356839,0.000231112,0.000210347,0.000231112,0.000201459,0.040612513,0.000231112
3/8/2024,2.846596225,14.6611933,1.1012133,3.0939772,2.4667023,83.4290233,22.97905249,1.1730292,0.000187289,0.000163037,0.000187289,0.000260238,0.01185663,0.000187289
3/1/2024,1.865345725,7.9168382,0.5060088,1.7044243,1.4789599,55.2319261,2.488856299,1.136944216,0.000237034,0.00013578,0.000237034,0.000299615,0.034105915,0.000237034
2/23/2024,2.5285717,14.11378647,0.413972975,1.5183697,2.0029291,87.6861916,3.5690373,1.450597825,0.000382521,0.000475179,0.000382521,0.001281812,0.083599016,0.000382521
2/16/2024,5.913201225,21.84822443,1.3274539,4.6261294,5.844323494,224.2514407,10.24409988,2.304055575,0.000150408,0.000233875,0.000150408,0.000430212,0.038191725,0.000150408
2/9/2024,1.5800779,3.8452833,0.2669643,0.946187128,1.2799971,25.3070989,0.9325909,1.345263775,0.000278428,0.000434038,0.000278428,0.000566641,0.05549625,0.000278428
2/2/2024,5.305194275,22.2056713,2.3723733,8.5725487,5.9633104,137.9809801,4.829586025,4.6565773,0.000136511,0.000129387,0.000136511,0.000407251,0.050992437,0.000136511
1/26/2024,1.245717525,9.4187068,0.471792525,0.973418225,1.0316491,99.5060019,3.4743459,1.4226913,0.000700248,0.000987175,0.000700248,0.001228006,0.112589212,0.000700248
1/19/2024,13.6250127,8.1008443,0.7638009,1.4429897,1.4161411,78.3003662,11.5733272,4.546665675,0.000189599,0.000289407,0.000189599,0.000496245,0.021614414,0.000189599
1/12/2024,5.6003309,26.18274498,1.8695916,3.2948623,2.930120075,77.4704582,4.8745645,1.921110175,0.000123974,0.000164546,0.000123974,0.000130388,0.020040674,0.000123974
1/5/2024,3.8708137,6.0595209,0.6299907,2.743924472,2.0214083,76.42914434,4.0297934,1.2967693,8.25555E-05,0.000125063,8.25555E-05,0.000141675,0.019257212,8.25555E-05
12/29/2023,1.1812143,3.4438751,0.176539495,0.384106675,0.2049742,19.5404191,1.093346153,0.4591062,9.19983E-05,0.000117567,9.19983E-05,8.00837E-05,0.027076431,9.19983E-05
12/22/2023,6.6507493,6.6379686,0.4636219,2.1071146,0.501897782,56.09058122,4.4448025,3.7360957,9.57159E-05,9.68517E-05,9.57159E-05,0.000108268,0.016937136,9.57159E-05
12/15/2023,11.1918751,7.8237189,3.750586268,6.922189775,5.9273413,360.5469155,17.2585441,8.4211855,0.000398866,0.00037245,0.000398866,0.000589647,0.040501541,0.000398866
12/8/2023,2.9973457,3.1443876,0.632842825,2.103260075,1.100061825,61.3595455,3.78227385,0.6206577,0.000129836,0.000193985,0.000129836,0.000353107,0.014284749,0.000129836
12/1/2023,8.6941566,8.7378595,0.767500048,1.648310725,1.473750575,65.2058788,8.1819205,1.99182785,5.89503E-05,6.03083E-05,5.89503E-05,0.000229877,0.021296888,5.89503E-05
11/24/2023,1.1833833,2.348193604,0.2728119,0.5414877,0.4633382,22.77019572,1.581146486,0.6559643,0.000142296,0.000137595,0.000142296,0.000223236,0.029691957,0.000142296
11/17/2023,2.0593912,9.838758,1.0014916,1.457784644,1.178915925,78.30953853,5.424647425,3.6480019,0.000448108,0.000471008,0.000448108,0.000449814,0.067003358,0.000448108
11/10/2023,2.7324011,2.6581757,0.7217259,0.563373325,0.8443924,42.4215901,3.2322377,1.483125425,7.71027E-05,6.91017E-05,7.71027E-05,0.000195588,0.031932172,7.71027E-05
11/3/2023,15.2457061,13.0766919,2.908486011,2.843807925,2.5472659,193.1333029,11.2968711,5.874184686,0.000256501,0.000231565,0.000256501,0.000427803,0.020051192,0.000256501
10/27/2023,4.9085209,15.5179361,0.6212158,0.5472666,0.750814675,73.67018994,1.4711769,1.5461214,0.000187943,0.000153477,0.000187943,0.000140233,0.012619143,0.000187943
10/20/2023,9.227296498,10.8845022,1.3475117,0.9632637,2.386966075,96.2782201,21.8187388,13.7793943,0.000242166,0.000306388,0.000242166,0.000532402,0.034971246,0.000242166
10/13/2023,1.596498825,39.14960664,1.6215408,5.108047448,1.8964107,39.4612479,6.0419103,1.230888675,0.000486693,0.001364305,0.000486693,0.001171698,0.030748486,0.000486693
10/6/2023,10.0430892,12.8593903,1.22877695,1.7781157,2.435165775,167.3413075,7.272778025,2.6206918,0.000261965,0.000429779,0.000261965,0.000623643,0.023041026,0.000261965
9/29/2023,2.607925709,13.4077801,0.4761254,1.8503005,0.7965716,48.50126298,2.188412275,1.3428769,0.000178469,0.000125846,0.000178469,0.000127557,0.014202038,0.000178469
9/22/2023,2.1980419,10.5453559,0.4132779,1.4784859,2.155179711,80.8018887,10.02212798,1.2508492,0.000126154,0.000240777,0.000126154,0.000363446,0.015441002,0.000126154
9/15/2023,8.3081163,12.83895848,0.5019601,2.80261375,1.4165479,166.9022071,13.72619443,2.2988137,0.000199786,0.000167011,0.000199786,0.00042623,0.01141773,0.000199786
9/8/2023,5.0137443,11.15038028,0.537457475,1.0185977,1.8002959,41.16114488,3.9561238,2.1783691,0.000129241,0.000139489,0.000129241,0.000332934,0.03128996,0.000129241
9/1/2023,1.3267741,5.7503327,0.239914169,0.3579645,0.7752492,50.5712164,2.1137569,0.7223471,0.000113631,9.87158E-05,0.000113631,0.00018867,0.014648173,0.000113631
8/25/2023,5.2046337,8.179314675,0.4261568,1.340733315,1.42077175,34.3880559,2.053367753,0.7432323,0.000236986,0.000149764,0.000236986,0.000357596,0.021900732,0.000236986
8/18/2023,4.6486137,19.56496421,0.787426375,1.3851049,1.3186327,55.57914177,1.961201525,2.1934294,0.0001645,0.000135913,0.0001645,0.000423855,0.040906668,0.0001645
8/11/2023,1.7984057,11.2863741,1.0065454,1.8148394,1.354955525,118.5527953,4.797726925,3.281111025,0.000113515,6.39782E-05,0.000113515,0.000116732,0.032669528,0.000113515
8/4/2023,0.631933175,14.3131792,0.9426659,1.7230111,1.4901241,50.1831389,3.025882825,3.9770937,0.000381782,0.000348018,0.000381782,0.000355251,0.057234853,0.000381782
7/28/2023,2.612233532,6.794359675,0.6519626,2.2518751,1.506894711,50.6759347,7.7395984,1.190887975,0.000199117,0.000324801,0.000199117,0.000509174,0.120459146,0.000199117
7/21/2023,31.7043452,11.2474576,1.3400619,1.734506201,4.5829967,206.5381713,10.8995593,5.156873975,0.000152948,0.000162579,0.000152948,0.000128565,0.021889908,0.000152948
7/14/2023,4.8499423,24.4932517,1.3156894,4.6061311,4.9926701,141.3566839,8.1322963,2.971138127,0.000117526,0.00013028,0.000117526,0.000200719,0.02197898,0.000117526
7/7/2023,3.53967715,16.97620723,0.8632693,2.335002238,0.9507263,119.4835158,7.860315275,1.4860305,0.001449491,0.001886896,0.001449491,0.002248814,0.137158664,0.001449491
